Address (Hex);Register Name;Default (Hex);R/W;Description
19;VSTRT;"01 (UXGA),
00 (SVGA, CIF)";RW;"Vertical Window Line Start MSB 8 bits (2 LSBs in COM1[1:0] (0x03))
Bit[9:0]:    Selects the start of the vertical window, each LSB represents two scan lines."
1A;VEND;97;RW;"Vertical Window Line End MSB 8 bits (2 LSBs in COM1[3:2] (0x03))
Bit[9:0]:    Selects the end of the vertical window, each LSB represents two scan lines."
1B;RSVD;XX;–;Reserved
1C;MIDH;7F;R;Manufacturer ID Byte – High    (Read only = 0x7F)
1D;MIDL;A2;R;Manufacturer ID Byte – Low     (Read only = 0xA2)
1E-23;RSVD;XX;–;Reserved
24;AEW;78;RW;"Luminance Signal High Range for AEC/AGC Operation
AEC/AGC values will decrease in auto mode when average luminance is greater than AEW[7:0]"
25;AEB;68;RW;"Luminance Signal Low Range for AEC/AGC Operation
AEC/AGC values will increase in auto mode when average luminance is less than AEB[7:0]"
26;VV;D4;RW;"Fast Mode Large Step Range Threshold - effective only in AEC/AGC fast mode (COM8[7] = 1)
Bit[7:4]:    High threshold Bit[3:0]:Low threshold
Note: AEC/AGC may change in larger steps when luminance average is greater than VV[7:4] or less than VV[3:0]."
27-29;RSVD;XX;–;Reserved
2A;REG2A;00;RW;"Register 2A
Bit[7:4]:    Line interval adjust value 4 MSBs (LSBs in FRARL[7:0] (0x2B))
Bit[3:0]:    Reserved"
2B;FRARL;00;RW;"Line Interval Adjustment Value LSB 8 bits (MSBs in REG2A[7:4] (0x2A))
The frame rate will be adjusted by changing the line interval. Each LSB will add 1/1922 Tframe in UXGA and 1/1190 Tframe in SVGA mode to te frame period."
2C;RSVD;XX;–;Reserved
2D;ADDVSL;00;RW;"VSYNC Pulse Width LSB 8 bits
Bit[7:0]:    Line periods added to VSYNC width. Default VSYNC output width is 4 x tline. Each LSB count will add 1 x tline to the VSYNC active period."
;;;;
2E;ADDVSH;00;RW;"VSYNC Pulse Width MSB 8 bits
Bit[7:0]:    Line periods added to VSYNC width. Default VSYNC output width is 4 x tline. Each MSB count will add
256 x tline to the VSYNC active period."
2F;YAVG;00;RW;"Luminance Average (this register will auto update)
Average Luminance is calculated from the B/Gb/Gr/R channel average as follows:
B/Gb/Gr/R channel average =
(BAVG[7:0] + (2 x GbAVG[7:0]) + RAVG[7:0]) x 0.25"
30-31;RSVD;XX;–;Reserved
32;REG32;"36 (UXGA),
09 (SVGA, CIF)";RW;"Common Control 32
Bit[7:6]:    Pixel clock divide option 00:  No effect on PCLK 01:  No effect on PCLK
10:  PCLK frequency divide by 2
11:  PCLK frequency divide by 4
Bit[5:3]:    Horizontal window end position 3 LSBs (8 MSBs in register HREFEND[7:0] (0x18))
Bit[2:0]:    Horizontal window start position 3 LSBs (8 MSBs in register HREFST[7:0] (0x17))"
33;RSVD;XX;–;Reserved
34;ARCOM2;20;RW;"Bit[7:3]:    Reserved
Bit[2]:       Zoom window horizontal start point Bit[1:0]:    Reserved"
35-44;RSVD;XX;–;Reserved
45;REG45;00;RW;"Register 45
Bit[7:6]:    AGC[9:8], AGC highest gain control Bit[5:0]:    AEC[15:10], AEC MSBs"
46;FLL;00;RW;"Frame Length Adjustment LSBs
Each bit will add 1 horizontal line timing in frame"
47;FLH;00;RW;"Frame Length Adjustment MSBs
Each bit will add 256 horizontal lines timing in frame"
48;COM19;00;RW;"Common Control 19 Bit[7:2]:    Reserved
Bit[1:0]:    Zoom mode vertical window start point 2 LSBs"
49;ZOOMS;00;RW;Zoom Mode Vertical Window Start Point 8 MSBs
4A;RSVD;XX;–;Reserved
4B;COM22;20;RW;"Common Control 22
Bit[7:0]:    Flash light control"
4C-4D;RSVD;XX;–;Reserved
4E;COM25;00;RW;Common Control 25 - reserved for banding Bit[7:6]:    50Hz Banding AEC 2 MSBs Bit[5:4]:    60HZ Banding AEC 2 MSBs Bit[3:0]:    Reserved
4F;BD50;CA;RW;50Hz Banding AEC 8 LSBs
50;BD60;A8;RW;60Hz Banding AEC 8 LSBs
51-5C;RSVD;XX;–;Reserved
5D;REG5D;00;RW;"Register 5D
Bit[7:0]:    AVGsel[7:0], 16-zone average weight option"
5E;REG5E;00;RW;"Register 5E
Bit[7:0]:    AVGsel[15:8], 16-zone average weight option"
5F;REG5F;00;RW;"Register 5F
Bit[7:0]:    AVGsel[23:16], 16-zone average weight option"
60;REG60;00;RW;"Register 60
Bit[7:0]:    AVGsel[31:24], 16-zone average weight option"
61;HISTO_LOW;80;RW;Histogram Algorithm Low Level
62;HISTO_HIGH;90;RW;Histogram Algorithm High Level
63-7E;RSVD;XX;–;Reserved
NOTE:  All other registers are factory-reserved. Please contact OmniVision Technologies for reference register settings.;;;;
;;;;
